DCMS,"Museums, Libraries and Archives Council (MLA)",www.mla.gov.uk
DCMS,National Historic Ships,www.nationalhistoricships.org.uk
DCMS,National Lottery Commission,www.natlotcomm.gov.uk
DCMS,Olympic Lottery Distributor,www.olympiclotterydistributor.org.uk
DCMS,People's Network (LIC),www.peoplesnetwork.gov.uk
DCMS,Public Lending Right and Public Lending Right Advisory Committee (PLR),www.plr.uk.com
DCMS,Sport England,www.sportengland.org
DCMS,UK anti-doping in sport,www.ukad.org.uk
DCMS,UK Film Council,www.ukfilmcouncil.org.uk
DCMS,UK Sport,www.uksport.gov.uk
DECC,Coal Authority Ground Stability Reports,www.groundstability.com
DECC,Committee on Climate Change,www.theccc.org.uk
DECC,Department of Energy and Climage Change,www.decc.gov.uk
DECC,Enhanced Capital Allowance Scheme,www.eca.gov.uk
DECC,Enhanced Captial Allowance Scheme (ECA),www.eca.gov.uk/etl
DECC,Greenhouse Gas Inventory National System,ghgi.decc.gov.uk 
DECC,Nuclear Decommissioning Authority,www.nda.gov.uk
DECC,Offshore SEA (DECC),www.offshore-sea.org.uk
DECC,Oil and Gas - UK Production Data Release (Datasets),www.og.decc.gov.uk/pprs/pprsindex
DEFRA,Agricultural Waste Plastics,www.agwasteplastics.org.uk
DEFRA,Agriculture and Horticulture Development Board ,www.ahdb.org.uk
DEFRA,Balanced Seas,www.balancedseas.org
DEFRA,BeeBase,secure.fera.defra.gov.uk/beebase
DEFRA,Bio Mass Energy Centre,www.biomassenergycentre.org.uk/portal/ 
DEFRA,"Centre for Environment, Fisheries & Aquaculture Science (DEFRA)",www.cefas.defra.gov.uk
DEFRA,Common Agricultural Policy UK Paying Agencies,cobody.defra.gov.uk/cobody/cobodyhome.nsf
DEFRA,Consumer Council for Water,www.ccwater.org.uk
DEFRA,"Defra - Department for Environment, Food and Rural Affairs. ",www.defra.gov.uk
DEFRA,Drinking Water Inspectorate,dwi.defra.gov.uk
DEFRA,Environment Agency,www.environment-agency.gov.uk
DEFRA,Farm Animal Welfare Council (FAWC),www.fawc.org.uk
DEFRA,Finding Sanctuary,www.finding-sanctuary.org 
DEFRA,Fine Resolution Atmospheric Multi-pollutant Exchange (FRAME),www.frame.ceh.ac.uk
DEFRA,Gangmasters Licensing Authority (GLA),gla.defra.gov.uk
DEFRA,Inland Waterways Advisory Council,www.iwac.org.uk
DEFRA,InterMet - Weather Data to Inform Crop Management Decisions,intermet.csl.gov.uk
DEFRA,Irish Sea Conservation Zones,www.irishseaconservation.org.uk
DEFRA,Joint Nature Conservation Committee (JNCC),jncc.defra.gov.uk
DEFRA,LANDshapes,www.landshapes.org
DEFRA,Living River,www.livingriver.org.uk
DEFRA,MAGIC,magic.defra.gov.uk
DEFRA,Managed Realignment Electronic Platform,intertidalmanagement.co.uk
DEFRA,Mapping European Seabed Habitats (MESH),www.searchmesh.net
DEFRA,Marine Management Organisation,www.marinemanagement.org.uk
DEFRA,MCZ Project Interactive Map,www.mczmapping.org
DEFRA,National Atmospheric Emissions Inventory (NAEI),naei.defra.gov.uk
DEFRA,National Collection of Plant Pathogenic Bacteria,ncppb.com
DEFRA,National Forest Company,www.nationalforest.org
DEFRA,National Parks,www.nationalparks.gov.uk
DEFRA,National Trails,www.nationaltrail.co.uk
DEFRA,Natural England,www.naturalengland.org.uk
DEFRA,Nematodes,nematodesuk.fera.defra.gov.uk
DEFRA,NetGain,www.netgainmcz.org
DEFRA,Netregs,www.netregs.gov.uk
DEFRA,Recycle Now,www.recyclenow.com
DEFRA,UK Biodiversity Action Plan,www.ukbap.org.uk
DEFRA,UK Climate Impacts Programme (UKCIP) ,www.ukcip.org.uk
DEFRA,Veterinary Medicines Directorate,www.vmd.gov.uk
DEFRA,Veterinary Products Committee,www.vmd.gov.uk/vpc
DEFRA,Veterinary Residues Committee,www.vmd.gov.uk/vrc
DEFRA,Waste Directory,wastedirectory.org.uk
DEFRA,Waste Resources Action Programme,www.wrap.org.uk
DFE,Care in Practice,childrenact1989regstraining.walkgrove.co.uk
DFE,Department for Education ,www.education.gov.uk
DFE,Further Mathematics Support Programme,www.furthermaths.org.uk
DFE,GovernorLine,governorline.info 
DFE,National Centre for Excellence in the Teaching of Mathematics.  ,www.ncetm.org.uk
DFE,The Learner Panel,learnerpanel.co.uk
DFE,Together for disabled children,www.togetherfdc.org
DFE,# Becta X,www.becta-x.co.uk
DFE,Children and Family Court Advisory and Support Service (CAFCASS),www.cafcass.gov.uk
DFE,Children's Commissioner,www.childrenscommissioner.gov.uk
DFE,Children's Workforce Development Council,www.cwdcouncil.org.uk
DFE,Diploma Validator,diplomavalidator.qcda.gov.uk
DFE,Examinations Timetable,www.modernisationonline.org.uk/comptimetable
DFE,Get into teaching,www.tda.gov.uk/get-into-teaching
DFE,International Review of Curriculum and Assessment Frameworks (INCA),www.inca.org.uk
